eta,theta_i_deg,cos_i,J_perp,J_parallel,det
0.67,5.729577951308232e-05,0.9999999999995,0.67,0.6699999999998154,0.44889999999987634
0.67,0.30075944529195625,0.9999862227578203,0.67,0.6699949128852368,0.4488965916331087
0.67,0.6014615948043993,0.9999449019086987,0.67,0.669979654991267,0.44888636884414895
0.67,0.9021637443168427,0.9998760385902757,0.67,0.669954225040271,0.44886933077698166
0.67,1.2028658938292858,0.9997796346993221,0.67,0.669918620902889,0.4488454760049357
0.67,1.5035680433417289,0.999655692891185,0.67,0.6698728395979221,0.44881480253060785
0.67,1.804270192854172,0.9995042165797162,0.67,0.6698168772921718,0.4487773077857551
0.67,2.104972342366615,0.9993252099371772,0.67,0.6697507293002353,0.44873298863115774
0.67,2.4056744918790582,0.9991186778941246,0.67,0.669674390084254,0.44868184135645023
0.67,2.7063766413915014,0.9988846261392743,0.67,0.6695878532536189,0.44862386167992474
0.67,3.0070787909039445,0.9986230611193446,0.67,0.669491111564629,0.44855904474830155
0.67,3.3077809404163876,0.9983339900388793,0.67,0.6693841569201078,0.4484873851364723
0.67,3.608483089928831,0.9980174208600483,0.67,0.6692669803689745,0.44840887684721287
0.67,3.909185239441274,0.9976733623024289,0.67,0.6691395721057716,0.448323513310867
0.67,4.209887388953717,0.9973018238427656,0.67,0.6690019214701514,0.4482312873850014
0.67,4.51058953846616,0.9969028157147086,0.67,0.6688540169463171,0.4481321913540325
0.67,4.811291687978604,0.996476348908533,0.67,0.6686958461624257,0.4480262169288252
0.67,5.111993837491047,0.9960224351708346,0.67,0.6685273958899464,0.4479133552462641
0.67,5.41269598700349,0.9955410870042076,0.67,0.668348652042981,0.44779359686879733
0.67,5.713398136515933,0.9950323176668996,0.67,0.6681595996775439,0.4476669317839545
0.67,6.014100286028376,0.9944961411724464,0.67,0.6679602229908028,0.44753334940383793
0.67,6.31480243554082,0.9939325722892867,0.67,0.6677505053202821,0.44739283856458906
0.67,6.615504585053262,0.9933416265403541,0.67,0.6675304291430288,0.44724538752582943
0.67,6.916206734565706,0.9927233202026507,0.67,0.6672999760747433,0.4470909839700781
0.67,7.216908884078149,0.9920776703067983,0.67,0.6670591268688734,0.4469296150021452
0.67,7.517611033590592,0.991404694636569,0.67,0.6668078614156759,0.44676126714850295
0.67,7.818313183103035,0.9907044117283961,0.67,0.6665461587412455,0.44658592635663447
0.67,8.11901533261548,0.9899768408708626,0.67,0.6662739970065101,0.4464035779943618
0.67,8.419717482127922,0.9892220021041708,0.67,0.6659913535061984,0.44621420684915303
0.67,8.720419631640365,0.9884399162195897,0.67,0.6656982046677773,0.4460177971274108
0.67,9.021121781152807,0.987630604758883,0.67,0.6653945260503604,0.4458143324537415
0.67,9.321823930665252,0.9867940900137147,0.67,0.665080292343593,0.4456037958702073
0.67,9.622526080177694,0.985930395025036,0.67,0.66475547736651,0.4453861698355618
0.67,9.923228229690137,0.9850395435824506,0.67,0.6644200540663725,0.4451614362244696
0.67,10.223930379202582,0.9841215602235588,0.67,0.6640739945174814,0.4449295763267126
0.67,10.524632528715024,0.9831764702332823,0.67,0.6637172699199725,0.4446905708463816
0.67,10.825334678227467,0.9822042996431672,0.67,0.6633498505985932,0.4444443999010575
0.67,11.12603682773991,0.9812050752306679,0.67,0.6629717060014628,0.4441910430209801
0.67,11.426738977252354,0.9801788245184084,0.67,0.6625828046988187,0.44393047914820855
0.67,11.727441126764797,0.9791255757734248,0.67,0.6621831143817511,0.4436626866357733
0.67,12.02814327627724,0.9780453580063869,0.67,0.6617726018609266,0.4433876432468209
0.67,12.328845425789682,0.9769382009707986,0.67,0.6613512330653042,0.4431053261537538
0.67,12.629547575302125,0.975804135162179,0.67,0.6609189730408457,0.4428157119373667
0.67,12.930249724814567,0.9746431918172217,0.67,0.6604757859492221,0.4425187765859788
0.67,13.23095187432701,0.9734554029129352,0.67,0.6600216350665201,0.44221449549456854
0.67,13.531654023839454,0.9722408011657613,0.67,0.659556482781948,0.4419028434639052
0.67,13.832356173351897,0.9709994200306749,0.67,0.6590802905965474,0.44158379469968684
0.67,14.13305832286434,0.9697312937002616,0.67,0.6585930191219108,0.4412573228116803
0.67,14.433760472376783,0.9684364571037765,0.67,0.6580946280789074,0.440923400812868
0.67,14.734462621889225,0.9671149459061819,0.67,0.657585076296423,0.4405820011186035
0.67,15.035164771401668,0.9657667965071649,0.67,0.6570643217101135,0.4402330955457761
0.67,15.33586692091411,0.964392046040135,0.67,0.6565323213611761,0.43987665531198805
0.67,15.636569070426553,0.9629907323712009,0.67,0.6559890313951431,0.4395126510347459
0.67,15.937271219938998,0.9615628940981282,0.67,0.6554344070606981,0.4391410527306678
0.67,16.237973369451442,0.9601085705492755,0.67,0.6548684027085215,0.43876182981470946
0.67,16.538675518963885,0.9586278017825116,0.67,0.6542909717901655,0.43837495109941094
0.67,16.839377668476327,0.9571206285841121,0.67,0.6537020668569644,0.4379803847941662
0.67,17.14007981798877,0.9555870924676358,0.67,0.6531016395589824,0.43757809850451823
0.67,17.440781967501213,0.9540272356727815,0.67,0.6524896406440037,0.43716805923148255
0.67,17.741484117013655,0.9524411011642243,0.67,0.651866019956568,0.43675023337090063
0.67,18.042186266526098,0.9508287326304324,0.67,0.6512307264370548,0.4363245867128268
0.67,18.342888416038544,0.9491901744824637,0.67,0.6505837081208222,0.4358910844409509
0.67,18.643590565550987,0.9475254718527423,0.67,0.649924912137403,0.43544969113206006
0.67,18.94429271506343,0.9458346705938155,0.67,0.6492542847097627,0.43500037075554104
0.67,19.244994864575872,0.9441178172770913,0.67,0.6485717711536239,0.43454308667292807
0.67,19.545697014088315,0.942374959191555,0.67,0.6478773158768623,0.43407780163749776
0.67,19.846399163600758,0.9406061443424668,0.67,0.6471708623789769,0.43360447779391453
0.67,20.1471013131132,0.9388114214500399,0.67,0.6464523532506421,0.43312307667793026
0.67,20.447803462625647,0.9369908399480981,0.67,0.6457217301733438,0.43263355921614044
0.67,20.74850561213809,0.9351444499827143,0.67,0.6449789339191074,0.4321358857258021
0.67,21.049207761650532,0.9332723024108299,0.67,0.6442239043503194,0.43163001591471406
0.67,21.349909911162975,0.9313744487988529,0.67,0.6434565804196513,0.4311159088811664
0.67,21.650612060675417,0.9294509414212385,0.67,0.64267690017009,0.4305935231139603
0.67,21.95131421018786,0.9275018332590487,0.67,0.6418848007350784,0.4300628164925026
0.67,22.252016359700303,0.9255271779984932,0.67,0.6410802183387764,0.4295237462869802
0.67,22.55271850921275,0.9235270300294506,0.67,0.6402630882964429,0.42897626915861675
