model,k,separation_nm,condition_number
isolated_pair,2,100.0,1.024586290809302
isolated_pair,3,100.0,1.024586290809302
isolated_pair,4,100.0,1.024586290809302
isolated_pair,5,100.0,1.024586290809302
isolated_pair,6,100.0,1.0245862908093022
isolated_pair,2,40.0,4.108456898751829
isolated_pair,3,40.0,4.10845689875183
isolated_pair,4,40.0,4.10845689875183
isolated_pair,5,40.0,4.10845689875183
isolated_pair,6,40.0,4.108456898751828
isolated_pair,2,20.0,28.096444426125142
isolated_pair,3,20.0,28.09644442612514
isolated_pair,4,20.0,28.09644442612514
isolated_pair,5,20.0,28.09644442612513
isolated_pair,6,20.0,28.096444426125142
isolated_pair,2,10.0,221.89716330634897
isolated_pair,3,10.0,221.89716330634894
isolated_pair,4,10.0,221.89716330634903
isolated_pair,5,10.0,221.89716330634903
isolated_pair,6,10.0,221.89716330634897
isolated_pair,2,5.0,1773.7174486776446
isolated_pair,3,5.0,1773.7174486776441
isolated_pair,4,5.0,1773.7174486776435
isolated_pair,5,5.0,1773.7174486776435
isolated_pair,6,5.0,1773.7174486776437
chain,2,100.0,1.024586294099845
chain,3,100.0,1.0665739151533518
chain,4,100.0,1.8278776190830275
chain,5,100.0,2.919727830230269
chain,6,100.0,17.853459431053384
chain,2,40.0,4.108456898751841
chain,3,40.0,6.797800515514632
chain,4,40.0,9.603717752603568
chain,5,40.0,12.188145238729392
chain,6,40.0,14.377369679538562
chain,2,20.0,28.096444426126972
chain,3,20.0,145.1995810870574
chain,4,20.0,674.7388912861146
chain,5,20.0,2356.759432972424
chain,6,20.0,6853.431897360256
chain,2,10.0,221.89716330643833
chain,3,10.0,3933.235151373376
chain,4,10.0,80576.76430011012
chain,5,10.0,1092697.4988472336
chain,6,10.0,12620089.06828749
chain,2,5.0,1773.7174486786507
chain,3,5.0,118976.70607535722
chain,4,5.0,10115706.942236874
chain,5,5.0,538379770.2864455
chain,6,5.0,25188438237.953514
