n_measurements,cos_i_added,condition_number
1,1.0,74.15692459470854
2,0.95,63.45235273243308
3,0.9,52.991227196896475
4,0.85,44.989778524971584
5,0.8,39.135486182274974
6,0.75,34.794865974797894
7,0.7,31.464563496751353
8,0.65,28.78195121990136
9,0.6,26.478867879756315
10,0.55,24.352010298432678
11,0.5,22.263015791197038
12,0.45,20.164171255318486
13,0.4,18.119787959690207
14,0.35,16.276531946769285
15,0.3,14.779259655172499
16,0.25,13.697734828776774
17,0.2,13.01696005524975
18,0.15,12.669194099900432
19,0.1,12.554927216878717
